,S&P500,divs_annualized
01-01-1982,117.3,6.66
02-01-1982,114.5,6.69
03-01-1982,110.8,6.72
04-01-1982,116.3,6.75
05-01-1982,116.4,6.78
06-01-1982,109.7,6.81
07-01-1982,109.4,6.82
08-01-1982,109.7,6.84
09-01-1982,122.4,6.85
10-01-1982,132.7,6.86
11-01-1982,138.1,6.86
12-01-1982,139.4,6.87
01-01-1983,144.3,6.88
02-01-1983,146.8,6.9
03-01-1983,151.9,6.91
04-01-1983,157.7,6.92
05-01-1983,164.1,6.93
06-01-1983,166.4,6.94
07-01-1983,167,6.96
08-01-1983,162.4,6.98
09-01-1983,167.2,7
10-01-1983,167.7,7.03
11-01-1983,165.2,7.06
12-01-1983,164.4,7.09
01-01-1984,166.4,7.12
02-01-1984,157.3,7.15
03-01-1984,157.4,7.18
04-01-1984,157.6,7.22
05-01-1984,156.6,7.27
06-01-1984,153.1,7.31
07-01-1984,151.1,7.33
08-01-1984,164.4,7.36
09-01-1984,166.1,7.38
10-01-1984,164.8,7.43
11-01-1984,166.3,7.48
12-01-1984,164.5,7.53
01-01-1985,171.6,7.57
02-01-1985,180.9,7.62
03-01-1985,179.4,7.66
04-01-1985,180.6,7.69
05-01-1985,184.9,7.71
06-01-1985,188.9,7.74
07-01-1985,192.5,7.77
08-01-1985,188.3,7.81
09-01-1985,184.1,7.84
10-01-1985,186.2,7.86
11-01-1985,197.5,7.88
12-01-1985,207.3,7.9
01-01-1986,208.2,7.94
02-01-1986,219.4,7.98
03-01-1986,232.3,8.02
04-01-1986,238,8.05
05-01-1986,238.5,8.07
06-01-1986,245.3,8.1
07-01-1986,240.2,8.14
08-01-1986,245,8.19
09-01-1986,238.3,8.23
10-01-1986,237.4,8.25
11-01-1986,245.1,8.26
12-01-1986,248.6,8.28
01-01-1987,264.5,8.3
02-01-1987,280.9,8.32
03-01-1987,292.5,8.34
04-01-1987,289.3,8.4
05-01-1987,289.1,8.46
06-01-1987,301.4,8.52
07-01-1987,310.1,8.57
08-01-1987,329.4,8.61
09-01-1987,318.7,8.66
10-01-1987,280.2,8.71
11-01-1987,245,8.76
12-01-1987,241,8.81
01-01-1988,250.5,8.86
02-01-1988,258.1,8.9
03-01-1988,265.7,8.95
04-01-1988,262.6,9.04
05-01-1988,256.1,9.14
06-01-1988,270.7,9.23
07-01-1988,269.1,9.31
08-01-1988,263.7,9.38
09-01-1988,268,9.46
10-01-1988,277.4,9.55
11-01-1988,271,9.64
12-01-1988,276.5,9.75
01-01-1989,285.4,9.81
02-01-1989,294,9.9
03-01-1989,292.7,10.01
04-01-1989,302.3,10.09
05-01-1989,313.9,10.19
06-01-1989,323.7,10.37
